cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed,tests_failed_count,tests_ignored_count,tests_total_count,tests_total_duration
degblogr00-0155.springer-sbm.com,50,132,Failed,63,0.63,1,2011-06-16T14:52:29+01:00,2011-06-16T14:52:32+01:00,2011-06-16T14:52:42+01:00,2011-06-16T14:52:43+01:00,2011-06-16T14:53:32+01:00,2011-06-16T14:53:33+01:00,0,0,10,0.000
degblogr00-0155.springer-sbm.com,86,133,Passed,64,0.64,1,2011-06-16T16:39:29+01:00,2011-06-16T16:39:33+01:00,2011-06-16T16:39:43+01:00,2011-06-16T16:39:44+01:00,2011-06-16T16:40:52+01:00,2011-06-16T16:41:11+01:00,0,0,30,0.000
degblogr00-0155.springer-sbm.com,81,135,Passed,65,0.65,1,2011-06-16T16:44:29+01:00,2011-06-16T16:44:34+01:00,2011-06-16T16:44:44+01:00,2011-06-16T16:44:45+01:00,2011-06-16T16:45:48+01:00,2011-06-16T16:46:07+01:00,0,0,30,0.000
degblogr00-0155.springer-sbm.com,79,137,Passed,66,0.66,1,2011-06-16T17:43:28+01:00,2011-06-16T17:43:36+01:00,2011-06-16T17:43:47+01:00,2011-06-16T17:43:47+01:00,2011-06-16T17:44:48+01:00,2011-06-16T17:45:07+01:00,0,0,30,0.000
degblogr00-0155.springer-sbm.com,80,139,Passed,67,0.67,1,2011-06-16T17:46:28+01:00,2011-06-16T17:46:41+01:00,2011-06-16T17:46:51+01:00,2011-06-16T17:46:51+01:00,2011-06-16T17:47:54+01:00,2011-06-16T17:48:12+01:00,0,0,30,0.000
degblogr00-0155.springer-sbm.com,82,141,Passed,68,0.68,1,2011-06-16T19:01:28+01:00,2011-06-16T19:01:41+01:00,2011-06-16T19:01:52+01:00,2011-06-16T19:01:52+01:00,2011-06-16T19:02:56+01:00,2011-06-16T19:03:15+01:00,0,0,32,0.000
degblogr00-0155.springer-sbm.com,81,143,Passed,69,0.69,1,2011-06-16T19:14:28+01:00,2011-06-16T19:14:38+01:00,2011-06-16T19:14:48+01:00,2011-06-16T19:14:49+01:00,2011-06-16T19:15:52+01:00,2011-06-16T19:16:11+01:00,0,0,35,0.000
degblogr00-0155.springer-sbm.com,82,145,Passed,70,0.70,1,2011-06-16T19:30:29+01:00,2011-06-16T19:30:40+01:00,2011-06-16T19:30:50+01:00,2011-06-16T19:30:51+01:00,2011-06-16T19:31:55+01:00,2011-06-16T19:32:13+01:00,0,0,36,0.000
degblogr00-0155.springer-sbm.com,84,148,Passed,71,0.71,1,2011-06-17T11:54:20+01:00,2011-06-17T11:54:28+01:00,2011-06-17T11:54:38+01:00,2011-06-17T11:54:39+01:00,2011-06-17T11:55:45+01:00,2011-06-17T11:56:04+01:00,0,0,36,0.000
degblogr00-0155.springer-sbm.com,80,150,Passed,72,0.72,1,2011-06-17T11:56:10+01:00,2011-06-17T11:57:17+01:00,2011-06-17T11:57:27+01:00,2011-06-17T11:57:27+01:00,2011-06-17T11:58:30+01:00,2011-06-17T11:58:48+01:00,0,0,34,0.000
